GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercise,com.code,Main,4,0,0,0,2,0,2,0,2,0
exercise,com.code,Example,0,124,1,17,0,36,1,21,0,13
